NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Garrett Temple,0.3,2.0,2.2,.052,-1.7,0.6,-1.2,0.4,1.08
Miloš Teodosić,-0.1,0.1,-0.1,-0.019,-2.9,-3.2,-6.1,-0.2,-0.54
Jared Terrell,-0.4,0.0,-0.3,-0.140,-7.5,-2.9,-10.4,-0.2,-0.54
Emanuel Terry,0.0,0.0,0.1,.117,-0.7,2.3,1.6,0.0,0.0
Daniel Theis,2.3,1.3,3.5,.188,0.8,1.5,2.3,1.0,2.7
Isaiah Thomas,-0.4,0.1,-0.3,-0.077,-4.5,-4.2,-8.7,-0.3,-0.81
Khyri Thomas,-0.2,0.2,0.0,.005,-4.7,-0.5,-5.2,-0.2,-0.54
Lance Thomas,-0.3,0.3,0.1,.004,-4.1,-1.2,-5.3,-0.7,-1.89
Klay Thompson,2.9,2.3,5.3,.095,1.2,-2.0,-0.8,0.8,2.16
Tristan Thompson,2.1,0.5,2.6,.105,0.2,0.1,0.3,0.7,1.89
Sindarius Thornwell,-0.3,0.3,0.0,.004,-5.1,1.1,-4.0,-0.2,-0.54
Anthony Tolliver,0.6,0.5,1.2,.052,-1.2,-1.0,-2.2,-0.1,-0.27
Karl-Anthony Towns,7.2,3.2,10.4,.197,4.8,2.0,6.8,5.7,15.390000000000002
Gary Trent,-0.3,0.1,-0.2,-0.092,-6.7,-3.6,-10.3,-0.2,-0.54
Allonzo Trier,0.4,0.5,0.9,.030,-2.2,-2.0,-4.2,-0.8,-2.16
P.J. Tucker,2.0,3.0,5.0,.086,-0.5,1.8,1.3,2.3,6.21
Evan Turner,0.5,1.5,2.0,.060,-2.5,0.7,-1.8,0.1,0.27
Myles Turner,1.9,4.4,6.3,.144,-1.4,4.7,3.3,2.8,7.56
Ekpe Udoh,0.9,0.7,1.6,.238,-0.1,5.7,5.6,0.6,1.62
Tyler Ulis,0.0,0.0,0.0,-0.015,-6.7,-0.4,-7.1,0.0,0.0
Jonas Valančiūnas,2.2,1.9,4.2,.183,0.1,1.2,1.2,0.9,2.43
Jarred Vanderbilt,-0.1,0.1,0.1,.037,-6.1,2.1,-4.0,0.0,0.0
